day,channel_type,num_posts
2021-03-03 00:00:00-08,chat,2351
2021-03-03 00:00:00-08,link,14
2021-03-02 00:00:00-08,publish,40
2021-03-02 00:00:00-08,link,6
2021-03-02 00:00:00-08,chat,2298
2021-03-01 00:00:00-08,chat,2251
2021-03-01 00:00:00-08,link,8
2021-03-01 00:00:00-08,publish,34
2021-02-28 00:00:00-08,link,5
2021-02-28 00:00:00-08,chat,1265
2021-02-28 00:00:00-08,publish,21
2021-02-27 00:00:00-08,chat,1084
2021-02-27 00:00:00-08,publish,28
2021-02-27 00:00:00-08,link,1
2021-02-26 00:00:00-08,publish,51
2021-02-26 00:00:00-08,link,3
2021-02-26 00:00:00-08,chat,1841
2021-02-25 00:00:00-08,chat,2135
2021-02-25 00:00:00-08,publish,32
2021-02-25 00:00:00-08,link,2
2021-02-24 00:00:00-08,publish,24
2021-02-24 00:00:00-08,link,4
2021-02-24 00:00:00-08,chat,1957
2021-02-23 00:00:00-08,chat,3407
2021-02-23 00:00:00-08,publish,22
2021-02-23 00:00:00-08,link,18
2021-02-22 00:00:00-08,chat,1857
2021-02-22 00:00:00-08,publish,32
2021-02-22 00:00:00-08,link,10
2021-02-21 00:00:00-08,chat,1265
2021-02-21 00:00:00-08,publish,10
2021-02-21 00:00:00-08,link,1
2021-02-20 00:00:00-08,chat,1201
2021-02-20 00:00:00-08,publish,19
2021-02-19 00:00:00-08,chat,4062
2021-02-19 00:00:00-08,publish,22
2021-02-19 00:00:00-08,link,10
2021-02-18 00:00:00-08,publish,27
2021-02-18 00:00:00-08,chat,2294
2021-02-18 00:00:00-08,link,4
2021-02-17 00:00:00-08,link,2
2021-02-17 00:00:00-08,publish,37
2021-02-17 00:00:00-08,chat,1833
2021-02-16 00:00:00-08,publish,29
2021-02-16 00:00:00-08,chat,1358
2021-02-16 00:00:00-08,link,4
2021-02-15 00:00:00-08,link,2
2021-02-15 00:00:00-08,publish,18
2021-02-15 00:00:00-08,chat,1910
2021-02-14 00:00:00-08,chat,1268
2021-02-14 00:00:00-08,link,2
2021-02-14 00:00:00-08,publish,27
2021-02-13 00:00:00-08,chat,1411
2021-02-13 00:00:00-08,link,3
2021-02-13 00:00:00-08,publish,10
2021-02-12 00:00:00-08,publish,24
2021-02-12 00:00:00-08,link,4
2021-02-12 00:00:00-08,chat,2456
2021-02-11 00:00:00-08,publish,26
2021-02-11 00:00:00-08,link,4
2021-02-11 00:00:00-08,chat,1705
2021-02-10 00:00:00-08,publish,48
2021-02-10 00:00:00-08,link,4
2021-02-10 00:00:00-08,chat,1994
2021-02-09 00:00:00-08,publish,26
2021-02-09 00:00:00-08,link,4
2021-02-09 00:00:00-08,chat,2132
2021-02-08 00:00:00-08,link,5
2021-02-08 00:00:00-08,publish,26
2021-02-08 00:00:00-08,chat,1720
2021-02-07 00:00:00-08,chat,1194
2021-02-07 00:00:00-08,publish,11
2021-02-07 00:00:00-08,link,6
2021-02-06 00:00:00-08,publish,4
2021-02-06 00:00:00-08,link,8
2021-02-06 00:00:00-08,chat,1333
2021-02-05 00:00:00-08,chat,2039
2021-02-05 00:00:00-08,publish,21
2021-02-05 00:00:00-08,link,13
2021-02-04 00:00:00-08,link,13
